match_no,date,venue,group,match,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_defensive_pressure_applied,2_defensive_pressure_applied,Result,1_pass_success,2_pass_success,winning_pass_success,Team_1_Goals_Diff,Team_2_Goals_Diff
14,24-Nov-22,Education City Stadium,Group H,URUGUAY vs KOREA REPUBLIC,URUGUAY,KOREA REPUBLIC,41663,0.6,0.6,0.56,0.44,0,0,"0,0",10,6,0,0,0,0,0,0,0,0,6,5,7,1,3,5,1,1,0,0,7,10,1,0,528,419,459,340,4,3,10,8,0,0,6,10,0,0,240,231,Draw,0.8693181818181818,0.8114558472553699,,-0.6,-0.6
15,24-Nov-22,Stadium 974,Group H,PORTUGAL vs GHANA,PORTUGAL,GHANA,42662,2.0,0.9,0.62,0.38,3,2,"3,2",11,8,2,3,3,2,0,0,5,3,3,5,7,2,4,6,2,4,0,0,14,19,1,1,636,394,573,326,3,3,19,15,1,0,8,11,0,0,286,326,PORTUGAL,0.9009433962264151,0.8274111675126904,0.9009433962264151,1.0,1.1
16,24-Nov-22,Lusail Iconic Stadium,Group G,BRAZIL vs SERBIA,BRAZIL,SERBIA,88103,2.4,0.2,0.59,0.41,2,0,"2,0",24,4,0,2,2,0,0,0,10,0,9,3,11,1,13,3,0,3,0,0,7,12,1,0,585,403,526,341,6,4,12,8,0,0,4,24,0,0,236,338,BRAZIL,0.8991452991452992,0.8461538461538461,0.8991452991452992,-0.3999999999999999,-0.2
17,25-Nov-22,Ahmed bin Ali Stadium,Group B,WALES vs IRAN,WALES,IRAN,40875,0.9,1.4,0.62,0.38,0,2,"0,2",10,21,2,0,0,1,0,1,3,6,4,6,5,7,5,14,1,2,1,0,9,10,2,2,508,295,413,202,2,7,12,11,0,0,21,9,0,0,161,276,IRAN,0.812992125984252,0.6847457627118644,0.6847457627118644,-0.9,0.6000000000000001
18,25-Nov-22,Al Thumama Stadium,Group A,QATAR vs SENEGAL,QATAR,SENEGAL,41797,1.0,0.8,0.45,0.55,1,3,"1,3",10,12,3,1,1,3,0,0,2,4,7,6,4,10,6,2,3,3,0,0,7,12,4,3,424,511,353,445,6,7,15,11,0,0,12,11,0,0,308,232,SENEGAL,0.8325471698113207,0.8708414872798435,0.8708414872798435,0.0,2.2
19,25-Nov-22,Khalifa International Stadium,Group A,NETHERLANDS vs ECUADOR,NETHERLANDS,ECUADOR,44833,0.1,1.7,0.54,0.46,1,1,"1,1",2,13,1,1,0,1,1,0,1,5,1,3,0,8,2,5,0,1,0,0,15,12,1,4,524,425,451,345,2,5,16,16,0,0,14,2,0,0,254,279,Draw,0.8606870229007634,0.8117647058823529,,0.9,-0.7
20,25-Nov-22,Al Bayt Stadium,Group B,ENGLAND vs UNITED STATES,ENGLAND,UNITED STATES,68463,0.8,0.6,0.55,0.45,0,0,"0,0",8,10,0,0,0,0,0,0,3,2,4,7,6,6,2,4,0,0,0,0,9,15,1,0,550,427,488,368,3,7,15,10,0,0,10,8,0,0,266,350,Draw,0.8872727272727273,0.8618266978922716,,-0.8,-0.6
21,26-Nov-22,Al Janoub Stadium,Group D,TUNISIA vs AUSTRALIA,TUNISIA,AUSTRALIA,41823,0.9,0.6,0.59,0.41,0,1,"0,1",13,8,1,0,0,1,0,0,4,2,5,3,9,5,4,3,3,0,0,0,16,15,3,0,501,334,396,239,5,2,15,19,0,0,9,13,0,0,217,273,AUSTRALIA,0.7904191616766467,0.7155688622754491,0.7155688622754491,-0.9,0.4
22,26-Nov-22,Education City Stadium,Group C,POLAND vs SAUDI ARABIA,POLAND,SAUDI ARABIA,44259,1.6,1.7,0.37,0.63,2,0,"2,0",8,16,0,2,2,0,0,0,3,5,3,9,8,9,0,7,3,2,0,0,18,15,0,0,303,560,236,494,4,5,15,17,0,0,16,9,0,0,329,173,POLAND,0.7788778877887789,0.8821428571428571,0.7788778877887789,0.3999999999999999,-1.7
23,26-Nov-22,Stadium 974,Group D,FRANCE vs DENMARK,FRANCE,DENMARK,42860,2.4,0.6,0.49,0.51,2,1,"2,1",21,10,1,2,2,1,0,0,6,2,8,6,16,5,5,5,1,2,0,0,4,9,1,1,503,537,437,473,6,4,10,5,0,0,10,21,0,0,269,282,FRANCE,0.8687872763419483,0.8808193668528864,0.8687872763419483,-0.3999999999999999,0.4
